GBRS,Version,Country,Credit_ID,Credit_Name,Category,Max_Points,Total_System_Points,Req_Type,PV_Language_Verbatim,BIPV_BAPV_Distinction,App_Roof,App_Facade,App_Window,App_Shading,Feasibility_Study,Innovation_Credit,PV_Verification,Cross_Category,Notes,Data_Quality
LEED,v4.1 BD+C,USA,EAc-RE,Renewable Energy,Energy & Atmosphere,5,110,Performance,"Use on-site renewable energy systems, procure renewable energy offsite, or purchase Energy Attribute Certificates (EACs) or carbon offsets to meet or offset annual building greenhouse gas emissions. Examples of on-site renewable energy generation include: A photovoltaic array located on the project site.",No,Yes,No,No,No,Not mentioned,Yes,Required (commissioning),No,"Total system 110 pts. Exemplary performance at 100% on-site RE. No BIPV/BAPV distinction. On-site PV explicitly listed as qualifying system. Credit uses GHG-based metric not % energy. Page 135-142.",verified
LEED,v4.1 BD+C,USA,IPc1,Integrative Process,Integrative Process,1,110,Process,"Massing and orientation. Assess how massing and orientation affect HVAC sizing, energy consumption, lighting, and renewable energy opportunities.",No,Yes,No,No,Yes,Not mentioned,No,Not mentioned,Partial,"Encourages solar analysis as part of energy-related systems discovery (page 14-17) but does not require solar feasibility specifically for PV. Indirect PV relevance.",verified
BREEAM,NC 2018,UK,Ene01,Reduction of energy use and carbon emissions,Energy,9 (+ 5 exemplary),428,Performance,"Energy generation from on-site and near-site LZC sources is sufficient to offset carbon emissions from regulated energy use plus a percentage of emissions from unregulated energy use. (Criterion 7, p.146). The building is deemed carbon negative where >100% of carbon emissions from unregulated (and regulated) energy use are offset by energy generated from on-site and near-site LZC sources (Criterion 9).",No,Yes,No,No,No,Not mentioned,Yes (exemplary 10-100%),Required (post-occupancy stage Criteria 10-12),Partial,"LZC = Low/Zero Carbon. PV qualifies as LZC technology but BIPV not specifically named. Exemplary credits require net-zero and beyond. Post-occupancy energy monitoring required for 2 extra credits. Pages 144-155. Total system 428 pages but 100 weighted credits.",verified
BREEAM,NC 2018,UK,Ene04,Low carbon design,Energy,3,428,Hybrid,"Ensure that the most appropriate recognised local (on-site or near-site) low and zero carbon (LZC) energy sources are adopted for the building or development, based on the feasibility study. (Criteria 9-12, p.169). Recognised local LZC technologies: Technologies eligible to contribute to achieving the criteria must produce energy from renewable sources and meet all other ancillary requirements as defined by Directive 2009/28/EC.",No,Yes,No,No,No,Required (Criterion 9 mandatory),Yes,Not mentioned,No,"LZC feasibility study mandatory at Concept Design stage (Criterion 9). Must cover all technologies including PV. Microgeneration scheme certification required for <50kWe. Novel LZC tech (e.g. BIPV facade) needs SBEM-Q approval. Pages 167-175.",verified
Green Mark,GM:2021,Singapore,EE-Pathway 1/2/3,Energy Efficiency (Renewable Energy component),Energy Efficiency,20 (bonus) / prerequisite,100 (base),Performance / Prescriptive,"Full recognition of passive design strategies and renewable energy systems' contribution to energy savings. Note on Renewable Energy: During design or pre-retrofit stage, the expected renewable energy generated percentage and the total annual electricity consumption of the development shall be calculated. Technical product information of the renewable energy system and detailed drawings showing the location of the system shall be provided.",No,Yes,No,No,No,Mandatory (Stage 1 & 2 Verification for new buildings),Yes,Required (12-month verification audit Stage 2),Partial,"Renewable energy counted toward EUI or Energy Savings percentage. No onsite RE cap under Pathway 3. ZE requires 100% RE; PE requires 115% from onsite RE. Feasibility study implicit in verification process. No explicit BIPV naming but SLE program recognized facade PV. Pages 7-10 (energy simplified doc).",verified
Green Mark,GM:2021,Singapore,ZE/PE,Zero Energy / Positive Energy Building,Energy Efficiency,N/A (certification tier),100,Performance,"Zero Energy (ZE): Use of onsite and off-site renewable energy to generate at least 100% of energy needed for building operation, including all process/receptacle loads. Positive Energy (PE): Use of onsite renewable energy to generate at least 115% of energy needed for building operation.",No,Yes,Partial,No,No,Mandatory,Yes,Required,No,"PE requires 115% onsite only (facades needed to maximize generation area). ZE allows off-site REC. SLE = 60% energy savings minimum. Pages 9 (certification standard).",verified
BEAM Plus,v2.0 (2025 ed.),Hong Kong,EU5a,Solar Energy Feasibility Study,Energy Use,1,120 (approx),Process,"Conduct a feasibility study to evaluate the potential of standalone and building-integrated installation in harnessing solar energy including photovoltaic and solar water heating. 1. Consideration of PV, BIPV or solar thermal potential installation. 1.1 Number of potential surfaces; 1.2 Potential surfaces area.",Yes (BIPV explicitly listed),Yes,Yes,No,No,Encouraged (1 credit),No,No,No,"BEAM Plus explicitly names BIPV in feasibility study scope (page 313). Feasibility study earns 1 credit but no obligation to implement. Must be endorsed by Locally Qualified Professional with 3+ years RE experience.",verified
BEAM Plus,v2.0 (2025 ed.),Hong Kong,EU5b,On-site Renewable Energy Application,Energy Use,5 + 5 bonus,120 (approx),Performance,"Calculate the percentage of annual building energy consumption obtained from all renewable energy applications on site. Examples include: 5.1. Solar photovoltaic (PV) System; 5.2. Solar water heating system; 5.3. Wind power system; 5.4. Bio-gas heating/electricity generation; 5.5. Biofuel.",No,Yes,No,No,No,Not required,Yes (bonus credits),Not required,No,"Credits: 0.2% = 1 credit up to 2% = max 10 credits (5+5B). Very low ambition threshold. Total system ~120 pts. Solar PV explicitly listed but no BIPV/BAPV distinction for this sub-credit. Pages 312-317.",verified
DGNB,NC 2020 International,Germany,ENV1.1,Building Life Cycle Assessment,Environmental Quality,130 (+ bonuses),1000 (variable),Performance,"On site generated renewable energy can at least compensate the building energy demand related CO2 equiv. emissions. (4.1.1, p.5). Building generates energy 'for other users': The excess energy is recorded in the life cycle assessment and incorporated into the life cycle assessment evaluation. (5.2). Standards referenced: EN 15316-4-3: thermal solar and photovoltaic systems (p.61).",No,Yes,Partial,No,No,Required (LCA in planning required),Yes (Agenda 2030 bonus),Encouraged (lifecycle monitoring),Yes,"BIPV recognized through LCA methodology - PV as building component assessed in lifecycle. Circular economy bonus for excess energy generation. EN 15316-4-3 for PV referenced. No explicit BIPV vs BAPV distinction in this document but facade LCA included. Pages 1-10, 61.",verified
Passive House,Classic/Plus/Premium (v10c 2023),Germany,PER,Primary Energy Renewable Balance,Energy,N/A (pass/fail criteria),N/A,Performance,"Renewable energy generation (with reference to projected building footprint) [kWh/(m²a)] ≥ 60 (Plus), ≥ 120 (Premium). PV system: data sheets of the collectors and inverters used, indicating the necessary input parameters (note: no evidence is required relating to batteries connected to the PV system). Photovoltaic panels: areas covered with rear ventilated solar collectors or photovoltaic panels (including the areas required between the panels) are excluded from cool colour criterion.",No,Yes,Partial,No,No,Not required (PHPP calculation implicit),No (system is binary pass/fail),Required (PHPP; blower door test),Partial,"Plus requires 60 kWh/m²a RE generation; Premium 120 kWh/m²a relative to building footprint. PV generation counted toward PER. Classic tier has no generation requirement. Facade PV can contribute but no specific pathway. Section 2.1 Table 1, 3.2.9, pages 10-34.",verified
LBC,4.0 (2019),USA,I-08,Net Positive Carbon (Energy Petal),Energy,Imperative (mandatory),20 imperatives,Performance,"All projects must supply one hundred and five percent of their project's energy needs through on-site renewable energy on a net annual basis, without the use of combustion. RENEWABLES: Must be on-site to count towards the efficiencies above.",No,Yes,Yes,No,No,Required (integrated in design charrette),Yes (entire system is innovation),Required (12-month performance data),Partial,"105% net-positive from on-site RE is mandatory. Combustion not allowed. Beauty imperative (I-19) encourages BIPV for aesthetic integration. Materials petal (I-12) assesses building materials lifecycle. Scale jumping permitted with conditions. Pages 42-45.",verified
LBC,4.0 (2019),USA,I-07,Energy + Carbon Reduction,Energy,Imperative (mandatory),20 imperatives,Performance,"All projects must achieve a reduction in total net annual energy consumption (after accounting for on-site renewable power), as compared to a typical existing building. New Building: 70% reduction from an equivalent building baseline. RENEWABLES Must be on-site to count towards the efficiencies above.",No,Yes,Yes,No,No,Required,Yes,Required,No,"New buildings must reduce energy 70%. Renewables counted only if on-site. All projects must meter energy. Zero-ready wiring required. Pages 43-44.",verified
MINERGIE,2023 Switzerland,Switzerland,MKZ,Minergie Coefficient (Energy Balance),Energy,N/A (pass/fail),N/A,Performance,"Own power generation: MKZ has a full roof (i.e., full roof PV is assumed as baseline for MKZ calculation). Fossil-free: mandatory. At least 10 Wp per m2 ERA no more than 30 kWp (2017 standard).",No,Yes,No,No,No,Implicit in MKZ calculation,No,Required (monitoring from 1000m2 ERA),Partial,"2023 standard integrates PV into the Minergie coefficient (MKZ). Full roof PV assumed. Greenhouse gas limit 11 kgCO2eq/m²/a. Monitoring mandatory for large buildings. 2017 standard explicitly required 10 Wp/m2 ERA. No BIPV language.",verified
Green Globes,2021 NC,USA/Canada,3.4.1,On-Site Renewable Energy,Energy,30,1000,Performance,"Has a study been conducted determining the technical feasibility and life cycle cost effectiveness of on-site renewable energy providing at least 2% of the total building annual energy cost? (3.4.1.1, 5 points). Path A: Feasibility Study completed and on-site renewable is LCCE: up to 25/25 points based on percentage of project energy produced by on-site renewable energy systems.",No,Yes,No,No,No,Encouraged (5 pts for feasibility study),No,Required (commissioning/verification section),No,"Total 30 pts for renewable energy (5 for feasibility + 25 for on-site RE %). BIPV not mentioned. Solar PV not named specifically. Section 3.4.1, pages 205-211. Total system 1000 pts.",verified
HQE,v4 (BD v4) 2022,France,Energy themes,Energy / Taxonomy alignment,Energy,Varies by level,100 (weighted),Performance / Process,"HQE certifications promote highly performant and sustainable buildings. The 4th version HQE-BD v4 aligns with EU Green Taxonomy for climate change mitigation and adaptation. No specific PV credit language found in taxonomy report.",No,Yes,No,No,No,Not mentioned in this document,No,Not mentioned,No,"Document reviewed is a taxonomy alignment report (Certivea 2023), not the full HQE scheme. RE2020 French regulation (which governs HQE compliance buildings) integrates PV/renewable requirements. No BIPV language. Partial data - full HQE scheme manual not available.",partial
Estidama Pearl,v1.0,UAE,RE-3,Renewable Energy,Resourceful Energy,7,100+,Hybrid,"To reward projects for the use of renewable technologies, therefore reducing the carbon emissions associated with building operation and the reliance on fossil fuel based power generation. Eligible renewable technologies include, but are not limited to: Wind energy systems; Solar energy, including solar electricity and solar thermal systems; Organic/agricultural and animal waste to energy systems. Renewable energy technology (e.g. solar photovoltaics) [referenced in submission docs].",No,Yes,No,No,No,Encouraged (1 credit for feasibility study in performance method),Yes,Required (post-occupancy data for Pearl-rated buildings),No,"RE-3 max 7 points (1 for feasibility + 1-5 for % of energy from onsite RE (3-25%) + 1 for offsite). Prescriptive method: 500/1000kWh/yr threshold. Performance method: 3-25% energy. Note: This is Villa Rating (residential) version; commercial/community versions likely differ. Solar photovoltaics named in submission documents. Pages 97-101.",verified
IGBC,Green New Buildings v3.0 (5th Addendum 2016),India,EE Cr,Renewable Energy (inferred),Energy Efficiency,~8,100,Performance,"All renewable energy systems recognised by the MNRE can be accepted under this criterion. (GRIHA reference; IGBC file is only 5th addendum with no RE section)",No,Yes,No,No,No,Not mentioned in addendum,Yes,Not mentioned,No,"File 16 is only the 5th Addendum covering minor updates to SA, SSP, WC, IEQ, EE credits - no renewable energy section shown. Full IGBC v3.0 manual not available in this file. Existing matrix data retained for scoring. Partial data.",partial
CASBEE,BD 2024,Japan,LR1.4.3,Expanding Adoption of Non-Fossil Energy,Environmental Load Reduction,Level 3-5 scale,BEE ratio,Performance,"As a premise, if the building has installed renewable energy equipment (including off-site renewable energy) or procured renewable energy, it will be subject to evaluation. 1) On-site renewable energy facilities or off-site renewable energy that is subject to evaluation in LR1-3. Solar power use (electricity use), etc. [SDG 7.2.1]. Photovoltaic generation, solar heat use and other semi-mechanical means are used to convert natural energy to electrical power.",No,Yes,No,No,No,Not required,No,Not required directly,No,"CASBEE uses BEE ratio (Q/L), not points. LR1 Energy has 4 sub-items. LR1.4.3 rewards non-fossil energy adoption (Level 4: energy storage introduced; Level 5: operational initiatives). PV is 'converted use of natural energy' assessed in LR1.3 efficiency sub-item. SDG 7.2.1 explicitly lists solar power. BIPV not mentioned. Pages 131, 134-135, 145, 256-257.",verified
GRIHA,v2019,India,C8,Renewable Energy Utilization,Energy Optimization,5,100,Performance,"Ensure installation of on-site and off-site RE system to offset a part of the annual energy consumption of internal artificial lighting, HVAC, and domestic hot water systems. All renewable energy systems recognized by the MNRE can be accepted under this criterion. BIPV is listed in abbreviations (p.17): BIPV = Building-Integrated Photovoltaics.",Yes (BIPV in abbreviations list),Yes,No,No,No,Not required,Yes (Innovation Criterion 30 for net positive energy),Encouraged,No,"GRIHA Criterion 8: mandatory 5% RE for daytime occupancy buildings; max 5 pts at 25% (daytime) or 25% (residential). BIPV listed in abbreviation list (p.17) but not specifically in Criterion 8 text. Criterion 28 mentions 'renewable energy systems: solar photovoltaic panels'. Innovation criterion 30 includes net-positive energy pathway. Pages 77-79, 17.",verified
LOTUS,v2.0,Vietnam,E-6,Renewable Energy,Energy,2,55 (approx),Performance,"Specifying sources of power which produce energy on-site from a renewable source can achieve points within this credit. Valid forms of renewable energy include: Biomass; Photovoltaic (PV) & Solar Thermal (including solar water heating); Fuel cells; Geothermal; Wind; Micro-hydro.",No,Yes,No,No,No,Not required,No,Not required,No,"E-6 awards 1 pt at 0.5% and 2 pts at 1.5% of building energy from renewables. PV explicitly listed as valid renewable form. No BIPV distinction. Very low ambition threshold. Pages 66-68.",verified
TREES,NC 2017 (v2),Thailand,EA2,Renewable Energy,Energy and Atmosphere,2,85,Performance,"Use on-site renewable energy systems such as solar power (solar cell, water heater), wind power, or bio fuel-based energy for 0.5-1.5% of the building's annual energy cost. Renewable energy systems such as solar, wind, bio-fuel based energy shall be installed in the project which may be sold back to the electricity grid of the Electricity Authority.",No,Yes,No,No,No,Not required,Yes (GI Innovation section 5 pts),Not required,No,"Solar cell mentioned explicitly. 1 pt at 0.5%, 2 pts at 1.5% of energy cost. Very modest target. No BIPV language. Innovation section (GI 1-5) could reward novel BIPV approaches. Pages 34-35. Total system 85 pts.",verified
ASGB,GB/T 50378-2019,China,5.2.16,Rational use of renewable energy,Energy Saving,10,400 (approx),Performance,"根据当地气候和自然资源条件，合理利用可再生能源 (According to local climate and natural resource conditions, make rational use of renewable energy). Three categories assessed: (1) RE proportion of domestic hot water (20-80%+, 4-10 pts); (2) RE proportion of cooling/heating load (20-80%+, 4-10 pts); (3) RE proportion of electricity (1%-4%+, 4-10 pts). Max 10 pts cumulative.",No,Yes,No,No,No,Not required,Yes (加分项 bonus items),Required (运行评价 operational assessment required),No,"Section 5.2.16 in energy chapter. Renewable energy defined as 风能、太阳能、水能、生物质能、地热能和海洋能 (wind, solar, water, biomass, geothermal, ocean) on p.13. PV counts toward electricity RE ratio (Re). No BIPV distinction. Operational verification required for 运行评价 (operation assessment). Max 10/400 pts (~2.5%). Pages 25-26, 90.",verified
WELL,v2,USA,N/A,N/A,N/A,0,100+,N/A,No direct renewable energy or PV credits,No,No,No,No,No,Not mentioned,No,No,No,Existing matrix data retained. WELL focuses on occupant health/wellbeing. No PV/BIPV content.,existing
EDGE,v3,Global (IFC),N/A,Energy savings (RE pathway),Energy,Threshold-based,N/A,Performance,Energy savings % toward 20% minimum threshold; PV contributes as one pathway,No,Yes,No,No,No,Not required,No,No,No,Existing matrix data retained. Simplified certification for emerging markets. No BIPV language.,existing
GSAS/QSAS,v2.1,Qatar,N/A,Renewable Energy sub-criteria,Energy,~5% of total,100,Performance,Generic renewable energy contribution,No,Yes,No,No,No,Not required,Yes,Encouraged,No,Existing matrix data retained. No BIPV language.,existing
Green Star,v1.3 Buildings (Australia),Australia,N/A,GHG reduction (PV pathway),Energy,~25,100,Performance,PV contributes via whole-building carbon modeling,No,Yes,No,No,No,Not required,Yes (Innovation Challenge),Partial,No,Existing matrix data retained. Note: File 6.03_building_criteria_en.pdf is actually Passive House criteria not Green Star.,existing
