GBRS,Country,Version,D1_Credit_Weight,D1_Justification,D2_BIPV_Specificity,D2_Justification,D3_Application_Coverage,D3_Justification,D4_Design_Integration,D4_Justification,D5_Ambition_Level,D5_Justification,D6_Performance_Verification,D6_Justification,D7_Synergy_Envelope,D7_Justification,D8_Innovation_Pathway,D8_Justification
LEED,USA,v4.1 BD+C,1,"EA Renewable Energy Production: 5/110 pts (~4.5%)",1,"No distinction between BIPV and BAPV; generic on-site renewable energy",1,"Only rooftop PV typically counted; facade PV can contribute but no specific pathway",1,"No mandatory solar study; Integrative Process credit encourages but does not require",1,"1-5% energy from renewables for points; no net-zero requirement in base system",1,"Commissioning required; no ongoing PV performance verification",0,"PV only counts in Energy category; no crossover to Materials or envelope",2,"Innovation credit available for exemplary renewable energy performance"
BREEAM,UK,NC 2018,2,"Ene01 up to 15 credits for carbon reduction (~11%); Ene04 LZC feasibility 1-2 credits",1,"No explicit BIPV term; treats all renewables generically under LZC technologies",1,"Feasibility study considers all renewables; roof PV most common; facade mentioned in guidance",3,"Ene04 MANDATORY Low/Zero Carbon feasibility study at design stage",3,"Full Ene01 credits require net-zero carbon; very ambitious",1,"Post-construction commissioning; operational verification via BREEAM In-Use separate",1,"PV reduces carbon in Energy; minor link to envelope thermal modeling",2,"Innovation credit for exemplary net-zero carbon performance"
Green Mark,Singapore,GM:2021,3,"Renewable Energy section: up to 20 bonus points (~20% of 100-point base)",2,"BIPV mentioned in guidance; solar feasibility study references facade PV; SLE requires renewables",2,"Roof PV primary; facade BIPV recognized in SLE programme; shading PV encouraged",3,"Solar feasibility study mandatory in GM:2021; design-stage integration required",2,"SLE requires significant renewable contribution (>60% energy reduction); not full net-zero",3,"Post-occupancy energy audit mandatory; actual PV output verified",1,"PV primarily in Energy Efficiency; some crossover with envelope in SLE",2,"Innovation points for exceeding renewable energy targets or novel BIPV"
Green Star,Australia,v1.3 D&AB,2,"Energy category ~25 points for GHG reduction on 100-point scale; PV contributes via carbon modeling",1,"No specific BIPV credit; PV treated generically within whole-building carbon modeling",1,"Roof PV standard; facade PV can contribute to carbon model but no dedicated pathway",1,"No mandatory solar study; integrated design encouraged but not prescriptive for PV",3,"6-Star World Leader effectively requires net-zero carbon; PV essential for top tier",1,"As-built verification required; operational performance via NABERS separate",1,"PV counted in Energy; minor interaction with Materials for lifecycle",3,"Innovation Challenge credits can reward novel BIPV integration or net-positive energy"
ASGB,China,GB/T 50378-2019,1,"Renewable energy: ~10/400 total points (~2.5%); Section 8.2.9",1,"No BIPV distinction; generic renewable energy utilization",1,"Roof PV standard; facade solar thermal mentioned; no specific facade BIPV pathway",0,"No mandatory solar feasibility study",1,"Requires >=2% renewable energy contribution for credits; modest target",2,"One-year post-occupancy operational data required for verification",0,"PV only in Energy section; no crossover",1,"Innovation credit exists but not specifically for renewables"
BEAM Plus,Hong Kong,v2.0 NB,1,"EU1 Renewable Energy: 5+5 bonus credits out of ~120 (~4-8%)",1,"No BIPV-specific language; on-site renewable energy systems",1,"Roof PV dominant; facade PV mentioned in guidance for high-rises",2,"Solar feasibility study earns 1 credit; encouraged but not mandatory prerequisite",0,"Full base credits at only ~2% energy from renewables; very low ambition",1,"Commissioning verification; no ongoing operational M&V for PV",0,"PV only counts in Energy Use section",1,"Bonus credits for exceeding 2% renewable; generic innovation credit"
CASBEE,Japan,2021 NC,1,"Energy category: renewable energy sub-items within LR3 (~3-4% equivalent via BEE)",1,"No BIPV distinction; renewable energy treated generically",1,"Roof PV standard; limited facade PV discussion",0,"No mandatory solar feasibility study requirement",1,"Level-based scoring; modest renewable contribution expected",1,"Operational data used in CASBEE for Existing Building separate tool",0,"PV within energy load reduction; no crossover to Q factors",0,"No specific innovation pathway for renewable energy"
DGNB,Germany,2023 NB,2,"ENV1.1 LCA includes PV; ENV2.1 Primary Energy up to ~10% of total; lifecycle-oriented",2,"BIPV recognized in facade assessment guidance; lifecycle of PV materials assessed",2,"Roof PV standard; facade BIPV explicitly discussed; window PV mentioned",2,"Energy concept required at design stage; renewable study part of integrated planning",2,"Significant primary energy reduction required; nearly-zero-energy as reference; EU EPBD aligned",2,"Lifecycle performance verification; operational monitoring encouraged",3,"BIPV contributes to ENV energy + TEC technical envelope + ECO lifecycle cost",2,"Innovation area for exemplary renewable integration"
WELL,USA,v2,0,"No direct renewable energy or PV credits; focused on health and wellbeing",0,"No mention of BIPV or PV technology",0,"No PV application type recognized",0,"No solar or energy generation study required",0,"No renewable energy ambition; energy only addressed indirectly via thermal comfort",0,"No PV performance verification",0,"No envelope-energy synergy for PV",0,"No innovation pathway for PV/BIPV"
IGBC,India,Green New Building v3,1,"Energy section: renewable energy ~8/100 points (~8%)",1,"No BIPV distinction; on-site renewable energy including solar",1,"Roof PV primary pathway; no specific facade or window PV recognition",0,"No mandatory solar feasibility study",1,"Minimum 5% energy from renewables for credits",1,"Post-occupancy monitoring encouraged but not strictly mandated for PV",0,"PV only in Energy category",1,"Innovation credit available but generic"
Estidama Pearl,UAE,Pearl v1.0,2,"RE-R1 and RE-1 to RE-3: renewable energy ~8-10% of total credits",1,"No specific BIPV language; on-site renewable energy systems",1,"Roof PV primary; shading PV mentioned in hot climate context",1,"Energy audit and renewable assessment encouraged at design stage",2,"Requires minimum 5% on-site renewable; higher tiers need more; aligned with Abu Dhabi goals",2,"Post-occupancy energy performance monitoring required for Pearl rated buildings",0,"PV in Energy category only",1,"Innovation credit for exceeding renewable targets"
GSAS/QSAS,Qatar,v2.1,1,"Energy category: renewable energy sub-criteria ~5% of total",1,"No BIPV distinction; generic renewable energy",1,"Roof PV standard; no facade or window PV pathway",0,"No mandatory solar study",1,"Modest renewable energy contribution targets",1,"Post-occupancy data collection encouraged",0,"PV in Energy only",1,"Innovation possible but not PV-specific"
Green Globes,USA/Canada,2021 NC,1,"Energy section: on-site renewable ~5% of total points",1,"No BIPV distinction; generic renewable",1,"Roof PV primary; no specific facade recognition",0,"No mandatory solar study; self-assessment approach",1,"Points for on-site renewable percentage; modest targets",1,"Commissioning and verification included",0,"PV in Energy only",1,"Continuous improvement pathway"
HQE,France,v3 2016,1,"Energy category: renewable energy integration ~5-8% of total",1,"No specific BIPV language; references French RT2012/RE2020 which mentions PV",1,"Roof PV standard; French regulations increasingly require facade considerations",1,"Energy study required as part of French building permit; includes renewables assessment",2,"RE2020 compliance pushes toward significant renewable contribution; lifecycle carbon approach",1,"Post-completion energy audit",1,"Some crossover with envelope thermal via RE2020 lifecycle approach",1,"Innovation points available"
EDGE,Global (IFC),v3,1,"Energy section: renewable energy contributes to 20% energy savings threshold",0,"No specific PV or BIPV language; focuses on % energy savings",1,"Roof PV standard pathway; no facade distinction",0,"No mandatory solar study; simplified certification for emerging markets",1,"20% minimum energy savings target; PV is one pathway among many",0,"Self-reported performance; no ongoing M&V",0,"PV only contributes to energy savings percentage",0,"No innovation credit"
Living Building Challenge,USA (ILFI),LBC 4.0,3,"Energy Petal: 100% net-positive energy MANDATORY; ~14% of total imperatives",2,"All on-site renewable recognized; BIPV encouraged for aesthetic integration",2,"Roof and facade PV both needed to achieve net-positive; building envelope as energy surface",2,"Integrated energy study inherent in pursuing net-positive; design charrette required",3,"100% net-positive energy is MANDATORY; the most ambitious of any system",3,"12 months of actual performance data required; continuous monitoring",2,"PV contributes to Energy Petal and Materials Petal (lifecycle); genuine integration",3,"Entire system is innovation-driven; beauty imperative encourages BIPV aesthetics"
Passive House,Germany (PHI),Classic/Plus/Premium,1,"PER (Primary Energy Renewable) factor includes PV generation; Plus and Premium require on-site RE",1,"No specific BIPV language; PV generation counted toward PER balance",1,"Roof PV standard; facade PV can contribute to PER but no specific pathway",0,"No mandatory solar study; focus is on envelope and airtightness first",2,"Plus requires 60 kWh/m2a RE generation; Premium requires 120 kWh/m2a; significant for low-energy buildings",2,"Blower door test mandatory; energy monitoring encouraged for Plus/Premium",1,"PV generation offsets primary energy; some interaction with envelope via PHPP tool",1,"Premium tier rewards maximum renewable generation"
GRIHA,India,v2019,1,"Energy section: renewable energy ~5-8% of total points",1,"No BIPV distinction; on-site renewable energy",1,"Roof PV primary; no facade recognition",0,"No mandatory solar study",1,"Minimum renewable energy contribution for credits",1,"Post-occupancy encouraged",0,"PV in Energy only",1,"Innovation credit generic"
LOTUS,Vietnam,v2,1,"Energy section: renewable energy ~5% of total",0,"No BIPV or specific PV language",1,"Roof PV assumed; no other application types",0,"No mandatory solar study",1,"Modest renewable targets",0,"No PV-specific verification",0,"PV in Energy only",0,"No specific innovation for renewables"
TREES,Thailand,v2,1,"Energy section: renewable energy ~5% of total",0,"No BIPV language",1,"Roof PV assumed",0,"No mandatory solar study",1,"Modest targets",0,"No PV verification",0,"PV in Energy only",0,"No innovation for renewables"
MINERGIE,Switzerland,2023,2,"MINERGIE-A requires net-zero energy; significant PV weight in A and P standards",1,"No specific BIPV term but PV generation integral to MINERGIE-A calculation",1,"Roof PV standard; facade PV increasingly important for A-ECO standard",1,"Energy balance calculation required; inherently includes PV sizing at design stage",3,"MINERGIE-A requires net-zero energy balance; very ambitious",2,"Operational energy monitoring required for MINERGIE certification maintenance",1,"PV contributes to energy balance; some interaction with envelope via Minergie-P",1,"MINERGIE-A ECO rewards comprehensive approach"
